Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,5.021,2.224,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_1,6.538,14.002,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_2,1.924,15.604,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_3,4.675,2.571,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_4,12.048,13.291,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_5,5.062,6.395,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_6,2.425,1.867,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_7,4.931,5.602,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_8,4.520,5.175,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
1,drone_9,1.363,9.042,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
2,drone_0,5.193,2.224,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
2,drone_1,6.679,13.861,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
2,drone_2,2.066,15.462,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
2,drone_3,4.675,2.743,15.540,6.118,"3.85420922285248,8.465524432569422,0.7559556225613009;4.9953704315954655,11.991906208235141,0.3136672678259075;12.022547096721997,11.373149792871315,0.8172311422079264;16.048399634776285,11.105085719590216,0.7915399160871153;17.14634150881316,15.268424156427297,1.763965037677004;7.807264211492256,8.601729781737687,0.43526316051406966;2.179676029282116,12.62518087431088,0.3847806388599142;17.19710065290106,9.393375468812136,1.095605691333865;13.126661308752361,0.2919527599677149,0.273762399447927;11.870418667495542,10.04431345016926,0.7153938381357552;12.411629998688928,17.55466268586061,1.3485117018320472;2.2533891982403818,10.330644069392072,1.0923248518918522;19.473182491005993,12.93387382210443,0.37826058027872134;7.822641485783787,3.71287251589024,1.0658167299756058;7.977343231388646,4.1599861949138,1.076305140090093;8.518409474353017,1.8246091696335862,1.3395848499621863;14.537589541668257,2.8844732465834833,0.4843264996285159;14.800873232706588,12.671653814802536,1.651282178216059;2.777894370579213,19.04629235837619,0.46198089065383235;18.71242106690694,16.459228743636437,0.25583516892424246;5.679129964402563,18.709741250614037,1.0120075280944842;2.7680448652384504,13.692863797521438,0.7023228075207213;10.719737890917258,16.395661390792334,2.307850854227714;11.281029006563172,5.326932356710447,2.026621832069827;17.624759262188984,16.698042748481747,0.6852246460458884;13.781168817823316,11.489277266838835,1.909080811890103;17.008700868520332,16.515244640821468,1.926180609441602;6.854865010546905,17.475990782004104,0.8928415691599113;4.68426100980839,13.1994703915005,0.4020266788377981;7.674981369834535,16.239926838412874,0.26528836531485345;8.119552500690078,1.700592921388728,0.7021763028941401;17.607057418468433,11.210322828850055,2.3720052056719094;9.575469005146378,11.60334656825724,1.22303060472382"
