Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_1,3.941,6.204,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_2,4.658,3.864,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_3,5.123,6.265,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_4,4.497,5.581,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_5,5.783,6.221,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_6,4.514,4.785,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_7,3.126,5.460,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_8,5.829,3.605,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
2,drone_9,3.778,3.684,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
3,drone_0,5.539,4.234,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
3,drone_1,4.063,6.325,14.896,13.904,"11.62338827312349,9.996721299362957,0.2578480440792343;3.344126805446132,10.921202892091962,1.603068971213684;6.052862169376587,10.161838915289175,0.6757453982936856;4.574299487306149,8.936557864634915,0.3110835502533849;14.423281998665262,0.9879909384062422,0.8399070224486066;10.30559829061087,5.01525199271482,0.7226405779901621;13.891402000095285,4.510713411365959,0.9413339105864273;1.8212861591122727,6.714781622211171,0.7027150745060922;14.372687527442046,3.4277136493514226,1.2740697219229125;1.0121591692238323,18.665482168151094,0.34701597140250673;10.12132925205438,14.29898008840709,1.3833378499223288;7.166106557289925,11.965734185802603,1.0477071755838478;16.483009702550856,17.535888993484228,0.2520740860179308;6.30648185739315,11.364574561299731,1.2221077082375782;4.065478779764881,18.108678409911864,1.3745532817334898;15.551565613464195,18.885626442473622,0.28551514843511316;3.696394523432283,13.819613675160054,1.9906725228250906;5.211909165008491,7.043369653491975,0.2389190216450445;13.19165257101116,8.090213129569129,0.21613438657739448;9.84998727351602,3.66556336143359,0.8815790354886469;13.944126654332251,2.604786528373143,2.1382738847336173;12.700827969201674,17.472947235517307,1.2639702995523976;16.544217791715106,19.060490525620143,0.2461198647574381;2.9028884562117447,4.612139253570124,0.40350747472215853;14.71608636882001,2.0101720617416317,0.9282199188178772"
