Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,4.175,15.321,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_1,4.904,14.067,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_2,5.844,14.123,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_3,3.799,13.771,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_4,5.539,13.155,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_5,3.378,15.050,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_6,4.825,12.586,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_7,5.655,15.203,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_8,4.325,12.795,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
1,drone_9,4.938,15.518,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
2,drone_0,4.175,15.172,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
2,drone_1,4.904,13.894,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
2,drone_2,5.844,13.951,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
2,drone_3,3.657,13.913,4.234,3.734,"2.4126591713832855,8.016438732412661,0.7513810904622082;13.219775839258467,5.628381505015418,1.6078425928331042;5.114379423253907,8.261368819436173,0.25947525103930985;15.996423267945973,10.162892780950655,0.7687211018571943;15.555567068250182,2.3494111373547693,1.34259098941691;8.625157820379217,13.152039098377992,1.3504989898206445;9.107734212224226,10.538938193762053,2.4717127503314296;17.174872807732356,12.086874217225382,0.7389531789995282;14.848133832827758,6.542617788139185,0.43541341263917765;10.38164722492324,7.740516375758271,0.600550108291612;2.8807644559185075,1.0761847711431345,0.924610939305563;8.031536726065108,17.979947612292978,1.7918564183165198;6.764821823358296,12.310830524971115,1.048889329924935;2.9963152093035648,12.83672796838409,0.8909382418982982;11.03761454446169,13.275458914515625,2.12533184479397;17.477876315095216,3.3701010918601497,1.5818411598373427;17.98596920167597,8.583999699740295,0.4051025583841097;12.809210906708808,9.661874300130787,0.45658622486171796;12.652554883067848,6.2937375318954185,0.6174432951259136;14.0874626307588,14.502416067606845,0.676663726483191;4.327891683442513,13.51455565940598,0.30678867191290204;14.52981803795476,7.185076638217362,1.3386522978446247;5.923894188782961,16.978899814568024,1.0941542029945521;16.976203345297815,8.253160457389095,0.32023551853315896;7.958290349887415,5.71223453312353,1.1356354484853566;7.776669213449986,5.516706293036545,0.671773921636447;9.0932467241365,12.565334171897826,0.9761051640777427;1.028777728247218,5.0144845800056155,0.39637201314102327;10.792903820031743,10.069185342947446,0.2608709949598558;15.120754555717689,18.512777779808737,0.9939144800145968;8.013147149579996,15.02194753718816,0.305686182272622;0.9881822173143281,3.944163147680984,0.8849469670690618;10.372784477911965,17.52971386479446,1.2545561954305509"
