Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
53,drone_7,13.933,14.770,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
53,drone_8,-100.000,-100.000,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
53,drone_9,10.608,11.132,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_0,11.431,17.290,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_1,12.226,16.460,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_2,16.001,14.351,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_3,10.774,13.617,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_4,13.165,15.183,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_5,11.056,16.223,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_6,9.194,13.074,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_7,13.856,14.924,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
54,drone_9,10.750,11.273,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_0,11.625,17.336,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_1,-100.000,-100.000,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_2,15.878,14.509,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_3,10.737,13.814,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_4,13.055,15.316,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_5,11.198,16.365,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_6,9.335,13.216,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_7,13.872,15.095,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
55,drone_9,10.891,11.415,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
56,drone_0,11.822,17.300,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
56,drone_2,15.747,14.661,12.970,16.275,"18.646857249501803,17.857107990566412,0.4348522105757704;2.522988364522632,2.646288739037335,0.8425799140827415;16.363655343035106,5.110490153891443,0.2761865333838651;18.687368267589672,15.851377328962428,1.30357900801659;17.055366793892226,3.05628624550061,1.0312387412781323;13.650217165022914,7.872336128512905,0.8382192141351411;15.699002091458222,6.4568849834342945,0.21262011569759942;8.206551449214805,16.406297354067846,1.211261009857893;0.3608215246153326,14.216398829629147,0.2030479062442331;14.02543753397891,7.234893735785101,2.131207656330684;11.986389067113917,13.261343562125214,0.7697155844580951;18.45084997713248,10.422844755111525,0.265156519546906;16.263656206591072,5.299154779968502,0.4537923937248216;15.490527999799632,13.462895874130718,0.2529556545410704;14.374447263844793,4.0873142065759565,1.9635930007984626;1.5400686287302294,3.7709829494162057,1.084681840904501;6.619808019780562,2.319539530468052,2.115830454666003;17.67242213172917,3.02863554014532,1.2590515497336676;6.51488143458758,8.459538870897342,0.4417434241199347;7.542345112833681,18.477302154581555,0.2483132647485617;15.773726884427152,11.117143780469092,1.1017850770617708;16.916590778166547,3.017514260713156,1.013293292702451;18.04477799375634,17.904655079578852,0.9635076009040661"
