Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
50,drone_6,17.242,11.426,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
50,drone_7,11.668,6.160,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
50,drone_8,16.239,8.957,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
50,drone_9,13.144,4.811,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
51,drone_0,12.305,10.021,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
51,drone_1,14.634,7.350,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
51,drone_2,15.250,8.138,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
51,drone_3,12.250,5.535,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
51,drone_4,13.973,6.814,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
51,drone_5,13.401,6.932,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
51,drone_6,17.385,11.286,13.190,3.427,"3.616442382063996,18.64204000859739,0.23119908659109434;17.71267221160641,3.472468496144849,2.186805772494555;6.410656291678987,11.545351909233043,0.30194241629232493;16.622796496148446,17.586122839271834,1.0424451083719577;3.3448072965624527,16.233827591109122,0.3653759992848232;4.213318723566226,18.426132954486004,0.7120278524477228;12.987770095639956,16.26239525085822,0.7825010022728314;5.3524881826256285,13.059174773406298,0.7574457239226939;6.456387362558616,17.24785823598939,0.25447692566457236;7.89868706830134,3.362808299534529,0.335021133006316;13.91009985194754,11.145575004107378,0.6888174121586981;2.1975311376407474,1.670279342449771,1.1230444451802306;11.400958590039307,12.95621706290824,0.8950204502262705;17.895846210338497,15.799120786676992,0.8012717183084426;9.528480568854054,6.307999656768462,0.46980343505203087;15.535004563157367,15.44144686964065,0.602996594849151;16.079917854175907,14.080128594244705,0.20719244447370766;1.4570042324849442,10.37830410453855,1.0835429887126886;5.51812600698482,6.876713655600215,0.41899494072327714;18.305395712655915,16.497573505041753,0.36679590670138024;9.633990440828937,18.39260024211367,0.6172954719817445;18.87951390529867,6.189475102883445,1.1064063891475913;10.173442037494556,9.04387512085079,0.4809081527592332;8.65769222529822,14.627910157320464,0.9295532920765179;6.6309413994754784,17.070771032094612,1.6532745890124456;19.093523441852415,16.933167305796974,0.46402731949405784;6.696283904483316,11.71567328016267,0.8953757817845334;7.173237042101736,8.739771836032181,0.3030163217347941;9.079581274442084,6.123345204580447,0.21621636608855596;15.86552383763997,10.505472869995256,1.0130468028992903;5.881963306974957,11.771806648329802,1.9207218109657347;3.754511420221958,3.5787157186957863,0.3739459199146923;18.44629937116503,8.652291362329457,0.3492246493699769;2.3004719928041073,9.238867175943692,0.6704335721770094;9.89952438083078,1.8432663367624333,0.2967379160889278;17.006799930685133,7.2917517394121365,1.1520548355783011;4.02792645992067,6.903000571683628,1.051872053085755;10.276491249529544,17.22185505425683,0.46359994452904424;12.763695255437932,7.6233177384910515,0.29228704319665105;15.364925749514558,15.148267569586565,1.9363482754968868;14.58354371323046,0.26254869855658086,0.20201539322694526;5.3581773709617755,5.693760530645307,0.3587809676262298;7.511062663634666,12.118056531487138,2.073924332755561;7.899772354366786,8.35731065456013,0.8651600330171929;2.4638696592656966,3.5315348254677565,2.4451239381366743;2.0826874078423856,3.839230938542115,1.919277712373248"
