Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
6,drone_0,7.4003,10.0952,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_1,6.7259,10.9675,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_2,6.4840,9.9873,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_3,6.7758,11.3939,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_4,7.5414,9.6815,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_5,6.4026,11.6293,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_6,8.1257,9.4066,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_7,6.3608,11.2495,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_8,7.7758,10.2390,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
6,drone_9,6.1532,10.2725,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_0,7.5115,9.9839,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_1,6.8286,10.8648,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_2,6.6045,9.8668,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_3,6.8871,11.2826,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_4,7.6527,9.5702,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_5,6.5139,11.5180,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_6,8.2463,9.2861,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_7,6.4635,11.1468,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_8,7.8871,10.1278,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
7,drone_9,6.2644,10.1612,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
