Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,1.782,15.660,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_1,16.809,8.232,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_2,7.480,3.315,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_3,18.392,6.069,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_4,18.823,3.572,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_5,10.912,1.167,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_6,4.264,2.261,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_7,16.933,4.246,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_8,9.864,3.726,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
1,drone_9,2.706,4.014,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
2,drone_0,1.981,15.684,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
2,drone_1,16.681,8.386,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
2,drone_2,7.608,3.468,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
2,drone_3,18.392,6.269,10.771,17.979,"7.567566583152049,7.673283490153974,2.4885554566443826;2.0032263932982355,12.780172333150512,1.9054723391710362;15.325137753050054,18.721903497521982,0.4310280096548608;6.241262019754766,8.994586858266764,1.1937076841853242;7.439657524463804,12.468161164130018,0.8964025685671476;8.287588451867705,11.205357929301105,1.0953144533587418;6.933440224619494,16.50000616368114,1.361903032326156;12.30959423146188,4.929956253615934,1.3372580410046784;14.341284242014979,18.307774890400548,0.459175430460733;11.476822108340494,14.069373138228196,1.316074895210465;12.269581907750863,2.279077299401297,0.4939904248591834;2.560926860092597,8.666443787666427,0.3345753650735034;6.774890460170358,18.021036627633276,1.5591233651484584;1.0176435799933528,17.15070817388215,0.37275218280470745;16.330229818112272,12.24017811714684,2.3416853255134105;18.555850730280987,16.91146335748959,0.38844713945393816;4.507810291052855,18.079502580980048,1.0612881754758885;2.757677228082298,10.979419527150602,1.2929734743273236;15.204559777035117,14.96710906846651,0.2235377338107729;5.120905428284917,9.063746113955055,0.37739113885482345;10.6238937000035,10.810654955752423,0.9027952307940024;5.878850162924178,11.069028744287833,0.23072085001446535;7.386604526249,15.132768033953674,0.4323760859651867;5.254308920907091,9.892849817197336,1.2653309819647212;5.316906895432086,7.188569458988351,0.4407534397680063;10.534695573223411,12.179541364588905,0.7078345769196331;1.955505985561532,17.217887384043834,0.24676330993260864;4.227509100876494,6.541325575270061,2.430718065386235;9.012381258806435,5.545121723945757,0.36135113203136554;5.399327575429703,14.002361452249547,1.259546117056717;17.671251291882772,5.729385739196201,0.4199905579008922;2.9581473212288305,18.117417461747127,0.38800111868314013;13.170004236714778,4.547286021114014,2.4816419190953605"
