Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,11.790,16.933,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_1,12.309,12.197,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_2,11.955,17.867,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_3,13.852,18.408,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_4,6.390,15.063,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_5,13.025,12.392,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_6,15.915,9.662,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_7,11.991,11.693,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_8,14.497,11.187,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
1,drone_9,4.076,12.919,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
2,drone_0,11.790,16.761,8.913,6.064,"8.724963003509336,15.91548856593741,0.3850098180540791;4.160640276921823,5.334581630397274,0.47957690384799734;5.335954656263999,18.934159398697943,0.7075944689245077;12.846139672692166,8.446902285117783,1.674669796376897;0.6491232728044489,0.663717043477029,0.3316738541046851;18.351068185087517,4.157248211793976,0.6866633284294807;15.856722971042739,1.4314810104658087,0.3402493982017027;13.78224920346889,3.7404138441279025,2.4418498631284944;9.400231747665124,13.43025959281918,0.3455247597962746;18.353331548665235,7.609570286451479,0.21114589893171917;2.442722118486692,18.876853279380654,0.8358856259221032;0.44593322834383575,12.2532633842322,0.3300249602042535;10.92337137516997,13.653028320296919,1.2486157313261008;5.472523752800605,16.981152299149656,0.7698988256311909;3.531424725576585,6.9609552347223875,1.522531389927043;12.652559872781973,17.255570914588596,0.277457378697301;5.1166380091876835,5.542127611170777,0.4610790629335626;6.357783801656754,13.075531810205359,0.42860413931629426;11.433352668496127,4.4820542000859955,0.3841843000004158;4.4727475052768595,17.205380226128245,0.45900627108580644;1.8055031741328382,5.715106393039904,0.7203715515438649;8.177533619143775,9.943073556474898,0.9746094236578362;6.889890537090001,17.124470270261508,0.27261628190514225;17.85917955069286,18.14106875170099,0.7179891506028491;14.75074968745773,8.32675894929092,0.45472389014585585;0.6610876046098657,8.59302950808609,0.36731579199058617;0.851131761269913,11.031674555621796,0.29381502487904654;9.179595525546766,15.850346310845959,0.3863105623342008;10.928430678253052,7.979390888357188,0.3979988760898543;6.76762339859109,10.40175217898789,0.9103529272365243;14.527896301612154,5.062036848634682,0.47460387391850545;12.196739409738644,5.732437658505009,0.47907128291009704;6.691965172950048,17.228168726555968,0.9362145753068499;10.378950633757077,0.8998115320352881,0.7906677030002532;16.903231505448304,6.913596614384604,1.173460055550375;8.964534254946056,1.2419243774083861,0.2803609788258477;18.147056009152518,11.56505432336876,1.0182680157173358;10.746384465949308,3.7218029044976877,0.4772248039438899;15.515562842155077,4.4883669457538335,1.1643966896207174"
