Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,7.488,15.670,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_1,2.273,7.372,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_2,7.385,15.072,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_3,13.330,15.695,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_4,12.313,16.355,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_5,5.225,9.922,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_6,17.728,17.279,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_7,13.545,18.647,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_8,9.368,10.993,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
1,drone_9,7.554,14.439,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_0,7.660,15.670,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_1,2.414,7.514,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_2,7.490,14.967,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_3,13.236,15.518,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_4,12.313,16.155,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_5,5.425,9.922,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_6,17.728,17.079,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
2,drone_7,13.686,18.506,16.364,6.962,"4.0890113131890375,2.956360983161729,1.7359837256651522;2.794656257698363,13.73604466338637,1.963771590493273;19.53567876543266,8.935990065009058,0.28714330130190346;3.5881207713954932,0.43386290708852826,0.23931855161973659;2.1538877653047432,4.790226227035279,1.557414664076387;15.394279338230405,15.234953796659095,1.380440045961696;9.614035706111427,6.2177947428137,2.3618049521400453;5.397548133422628,14.686528158731528,1.597459904655612;13.162172431895849,1.1946400392701306,0.4455492126954544;7.074053675724201,3.920510531563267,2.33491664512122;6.195953141663312,3.534012620988605,1.5334192641011264;2.0703645425772104,15.280245652184831,1.0828644279738906;6.418866142145433,2.98006217081758,0.7320525202197259;4.079976140476476,18.50489691075,1.3259274893739816;12.270247463688868,11.270753931446997,0.41713898845098407;18.29235394004072,11.387542436172515,0.8439865779374898;9.498461057337357,6.192039941515561,1.5032956241697077;18.742134625430946,4.104144258034651,0.33940442074756866;10.439118808542844,17.621050582702473,1.0834588963465865;10.062472261406413,9.021737298596936,1.1264004897805853;14.355314386290887,1.9007115877051344,0.6498656913853165;18.910695850241503,3.115974886001107,0.2316397665916223;16.76902007421113,15.111663178550733,1.5351136039174456;2.855193000443038,1.813715086999459,0.2463867057362709;16.409883856947918,12.022202065385192,1.2512459190442988;10.808665974615089,17.461423973267628,1.2134944899423816;13.145679943810583,4.733679326868526,0.6199808685712892;14.773176257429075,10.521673715013604,0.3257467609893544;17.564215600099992,12.544767946686953,2.350707002925012"
