Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_9,17.921,6.990,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_0,16.054,8.077,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_1,17.051,7.348,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_2,15.216,7.341,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_3,16.376,9.079,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_4,16.875,9.372,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_5,17.816,7.946,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_6,16.689,7.929,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_7,17.462,8.835,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_8,15.336,6.838,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
3,drone_9,17.981,7.126,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_0,16.080,8.203,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_1,17.042,7.409,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_2,15.045,7.365,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_3,16.392,9.227,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
