Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_2,6.937,3.887,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
2,drone_3,6.157,2.654,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
2,drone_4,5.917,3.603,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
2,drone_5,5.002,4.358,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
2,drone_6,5.112,3.530,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
2,drone_7,6.548,3.188,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
2,drone_8,5.798,1.900,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
2,drone_9,7.343,4.458,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
3,drone_0,5.193,2.451,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
3,drone_1,6.102,4.505,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
3,drone_2,6.833,3.992,5.063,13.800,"17.049743865619654,13.810776545962472,1.3608522995058678;10.255889133948703,13.129490291402663,0.3497478047643775;13.236783375461076,4.112747794112903,1.3828179828105043;2.230270126687083,8.902671546932506,0.21549323345426755;8.169830009696728,17.80588966385583,0.4464725863102941;17.271374344133513,17.26551366337562,1.8113477074798876;3.094310345495782,18.47516898522954,0.9367672345613643;16.23408945499489,7.407710737210256,1.2169756392757662;8.494551222816781,1.979880393932664,1.8831901672515823;2.4191832989368036,4.527736702815331,0.46196980567128576;17.88312794569152,6.382664847232036,2.039939204846817;17.13667105531689,12.64135694352055,0.3344805172575972;15.540034209741123,4.587439502454392,0.7836401690967018;8.128827423955432,6.22391047540353,1.3420331861096082;11.061580441621398,5.257853734109502,0.7283625385823201;12.76291785709326,11.157588814725154,1.110530465678624;2.1991686273890196,8.387644455944839,0.4480919327091206;0.5103154503704137,13.638298988460965,0.3611519109978428;8.462658150207893,3.662125080246706,0.6424350282687752;14.00212069829154,9.224085039178071,1.0617887735811276;16.3895616230215,15.625248466608904,0.29552393235521834;19.60361265128871,4.301522892654856,0.33401159859649104;17.97870795929931,16.297262348163816,0.9649818757720767;3.379878137361596,8.225138410513033,1.1565761893810111"
