Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,18.067,17.253,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_1,1.225,3.709,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_2,1.464,18.114,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_3,9.688,12.725,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_4,8.179,14.595,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_5,10.066,12.596,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_6,7.206,17.056,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_7,7.465,18.892,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_8,5.893,18.299,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
1,drone_9,4.676,11.150,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
2,drone_0,17.926,17.111,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
2,drone_1,1.225,3.909,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
2,drone_2,1.606,17.972,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
2,drone_3,9.566,12.847,12.335,4.658,"18.25465056331214,8.512669380093193,0.2811616320383683;2.1751065086956873,6.396091273500264,1.6197103520885938;2.3255515086496024,3.042336336602349,0.3218821508208893;9.501927562362297,7.831221696552509,2.1918058035809005;8.749585774081213,1.3792859353691302,1.3323034819815822;7.779156178341786,5.340378653844459,0.27468970035417417;16.890774604128495,15.938401124493078,0.4271440464332872;1.99358553505837,6.400593796033354,0.3060253397725;17.546985561649397,5.412930317580731,0.4322761204729564;10.322723775542926,17.72072622490858,1.0651798109075736;12.714799218912285,12.782734387982186,0.8216886559640931;15.695094699761425,6.856918875604814,0.4846231551523683;13.45919664309573,17.09362269706623,1.1931433643999698;9.780781552739784,12.112018432902858,0.24884439516018353;10.211614452243134,13.323028372786494,0.44397683154488254;9.572190906048423,15.950658692555592,1.394396313676832;14.761613943885338,16.35249572599619,0.46922201307425904;1.1701697508042925,11.822392693433319,0.8929111414967856;14.802873658334619,15.440876999156547,2.4844540270312114;5.046559033024273,2.1723456514700112,0.3598826510974917;4.386469576350013,9.008857781285272,1.5277683873497774;8.04158091871766,1.8032093562360745,1.0123081518359627;14.655388647058201,19.703965491429425,0.24439862185273808;16.376048798961275,14.760885657641188,1.8691764597975578;16.014329458368955,11.353332574420735,0.4703830719462877;18.120286344713744,3.811725140368694,0.47716337380434976;7.344666211382942,4.307655462788826,2.3425869028802104;16.481438398711585,12.789955282639575,0.2277164686758303;6.882939285515294,0.8953018677071332,0.8199481726962976;0.6977527411865903,6.887576822702541,0.2555555154499631;2.741184681044821,1.5075860873607372,0.8418150296179104;3.8651558385352285,3.5081161136900247,1.9263363012549597;17.046701710951154,7.052030921569345,0.4361284572129609;12.06785404633401,15.991758445088958,2.1422135887969054"
