Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,18.563,10.917,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_1,11.680,8.625,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_2,17.938,12.206,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_3,13.004,4.001,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_4,11.260,6.466,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_5,16.055,4.275,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_6,15.743,3.302,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_7,18.823,15.269,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_8,17.985,14.221,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
1,drone_9,11.988,5.579,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
2,drone_0,18.363,10.917,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
2,drone_1,11.539,8.767,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
2,drone_2,17.938,12.006,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
2,drone_3,12.863,4.142,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
2,drone_4,11.260,6.666,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
2,drone_5,15.855,4.275,5.549,15.635,"12.81898577296338,17.03343242339713,0.3340449171969686;17.561491871109226,6.840755276505402,2.315285997082289;3.056366009971103,5.861473802640967,1.2062999849958227;14.616328772676122,1.4265105206646211,0.41838592929465857;11.57971917937458,2.5043736133733807,0.31348658335167223;15.461931150774712,12.712346174033174,2.0373628023463777;2.6335965215944688,12.002187095558217,1.8004503762597328;6.376967202352857,9.892577084685852,0.23223699364925202;13.973718790786753,16.780086899991502,2.1656605837978056;12.322625932878323,12.02162116811098,0.47804060873085347;17.615800180245753,15.339707849322139,0.48023993592338565;18.11560998044655,3.46434357880438,0.2386878349561577;6.4824183730807174,5.539129859371812,1.9949736265659643;1.1355705143104144,18.631690139830532,1.080469031460145;14.943498889365948,5.506371896506735,0.40163088612408093;3.8462445838615595,8.4865406328452,1.745158746590709;2.5189566416724487,3.827099595365743,0.47529650782154853;2.4169098059062053,3.9720756554446996,1.0261159267937932;2.807878444659922,18.764332019906004,0.45198419657289474;8.878252912233352,7.196798756632286,0.6786261879868035;3.6976570911287236,9.122802331882022,1.1090699377748694;9.40706769659995,4.4193038147381225,0.4020238916245049;4.368150844923137,11.670068718132953,0.2039461047859476;1.553932353747651,14.75170603847171,1.0085878077632917;4.109318210990644,0.5276119378440653,0.4297312571991436;12.472072624864012,18.683450595609848,0.7181291369612227;4.916030292566232,8.579258076820459,2.4334525017999886;2.068346326165715,6.343861162488411,1.7139479695561577;17.07422491446547,17.820702944299303,1.338286351473807;8.812806938399712,18.301872738884644,0.44174238333028276;2.5875603176618784,12.355275687823715,2.2140943769481276"
