Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
38,drone_2,11.733,5.138,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
38,drone_4,14.068,6.246,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
38,drone_5,12.411,5.233,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
38,drone_6,12.749,6.339,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
38,drone_7,15.521,5.012,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
38,drone_8,10.984,5.357,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
38,drone_9,13.331,4.778,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_1,14.230,5.429,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_2,11.832,5.028,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_4,14.190,6.125,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_5,12.504,5.088,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_6,12.861,6.173,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_7,15.637,4.849,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_8,11.090,5.221,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
39,drone_9,13.503,4.761,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
40,drone_1,14.335,5.324,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
40,drone_2,11.934,4.920,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
40,drone_4,14.311,6.003,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
40,drone_5,12.611,4.953,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
40,drone_6,12.986,6.017,15.388,3.810,"15.256295628493467,12.224219650731914,0.44174949276894826;2.547722679211261,13.27705920919894,1.2173418076773053;2.196193591762201,5.561786834282938,0.9858350114243036;7.861422022813803,15.613131467203228,2.351746356599689;11.64875944578743,15.04671416927651,0.48928793005842564;7.201417058017089,17.851668098932485,0.774437552705181;11.540938394844032,15.461210252060411,0.4108564965026572;4.97171049586811,4.476417441462054,2.038915346786527;7.668187380249429,14.85880488104618,2.4482401013862765;9.83802741239061,1.1602482976859008,0.9096168860313835;17.364576510090433,16.699350043162692,1.3153699680833273;1.1338917537233277,14.735915190224818,0.6020496100201379;4.415515384313784,14.021001936472999,1.1316218821478188;0.8488050697776066,17.964081728064844,0.6774686685191929;19.547176606391815,3.928132535779911,0.29834321817859094;8.169767821836414,18.55881674558294,1.1867886771019653;12.595151352911106,16.418647405592004,0.830557057060014;6.326954934636343,18.873349434562932,0.809461547115058;5.210079298670495,2.6065348403127633,2.053738036609405;16.034928742307006,18.13882488780871,1.5111643087712325;15.425367032199388,9.22180697801953,0.7635193345658646;12.597466958029232,14.409826664616732,0.34520770998643036;15.506563762937772,9.286069005987894,2.2879624008129604;1.8237332722673187,13.168072411772735,0.6316068059509344;15.117904674317789,12.74039908942828,0.42232887114569667;2.9138894165984324,4.239135714660949,2.447778009697129"
