Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
6,drone_7,2.7361,0.8267,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
6,drone_8,1.6656,1.3926,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
6,drone_9,1.9555,2.2128,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_0,2.3405,1.9321,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_1,2.6229,3.0062,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_2,3.5521,0.5812,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_3,2.5664,1.2635,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_4,2.7889,2.5582,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_5,1.3907,2.1728,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_6,4.6516,2.4794,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_7,2.7203,0.6570,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_8,1.5847,1.2577,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
7,drone_9,1.8443,2.1016,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
8,drone_0,2.2378,1.8294,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
8,drone_1,2.6936,2.8357,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
8,drone_2,3.4779,0.4122,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
8,drone_3,2.4884,1.1268,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
8,drone_4,2.8111,2.3892,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
8,drone_5,1.2875,2.0540,7.2497,9.8786,"9.433,0.653,1.097;12.210,15.857,0.356;13.004,6.116,1.225;10.017,14.764,0.415;16.658,10.506,0.452;19.088,9.531,0.209;14.705,8.457,1.626;16.125,5.638,1.289;17.418,11.408,0.250;11.485,13.258,1.157;13.055,6.412,1.306;19.257,13.697,0.373;16.820,14.605,0.342;17.505,2.583,0.447;8.175,13.931,1.262;12.278,4.152,0.378;2.246,18.839,0.662;18.679,2.281,1.965;5.808,19.551,0.840;4.784,13.486,1.213;12.400,16.719,1.332;8.095,16.213,0.343;11.944,19.222,0.614;8.770,15.972,1.313;12.681,7.713,1.550;1.066,9.145,0.291;14.045,6.111,0.431;13.376,17.031,0.351;4.570,17.068,0.394;2.973,14.292,1.363;7.896,2.456,0.669;14.513,17.567,1.276;10.468,9.121,0.461;10.876,11.649,1.376;1.238,14.487,0.803;6.681,16.173,0.801;15.386,17.214,0.442;17.504,11.772,0.213;10.698,5.353,0.300;19.243,16.443,0.803;8.908,3.504,1.249;0.545,15.271,0.494;16.544,0.916,0.331;6.626,17.339,0.476;8.670,15.212,0.802;15.821,1.742,2.139;1.482,8.790,1.521;19.849,8.780,0.229;18.748,5.527,0.482;12.616,4.749,0.217;17.892,13.019,0.869;11.427,14.667,1.874;5.701,17.222,1.526;11.919,4.035,1.195;17.439,11.413,0.923;9.727,17.677,2.240"
