Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,13.028,9.848,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_1,17.467,1.324,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_2,14.257,6.129,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_3,12.945,6.031,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_4,11.112,10.684,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_5,7.727,16.922,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_6,16.271,3.377,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_7,1.633,2.679,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_8,18.795,5.499,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
1,drone_9,18.686,18.481,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
2,drone_0,12.829,9.834,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
2,drone_1,17.326,1.466,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
2,drone_2,14.120,6.276,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
2,drone_3,12.804,6.172,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
2,drone_4,10.988,10.526,9.624,7.872,"5.076765440511757,14.254969979557531,0.3464869964360826;9.485184215550536,16.55463940258012,1.07668665260204;6.6007266114491525,5.180733421739637,1.0042288769678172;16.393931015611198,12.103509542899355,0.7487502519013316;1.0649156882883857,5.301363415927193,0.35324754657990165;19.057846590434625,17.735102724682676,0.44922398280359144;14.442500246194772,2.046036295812765,0.4092339083662959;3.0798216196702355,14.913538079666585,0.6004617136344258;0.6482819075032199,3.2422066235332774,0.33220014748728743;3.2099321885126595,16.403313612523995,0.8513278363475071;11.13002416450488,4.188960926309736,0.9758697885251355;10.342762566522625,15.626211749101406,1.7246912032636155;15.59843543972135,8.40364974006207,0.46917325256675285;15.135925524113404,13.366732672630757,0.8301756835678749;13.118451028231343,2.9847296307372804,0.8495220750966829;18.219964482046084,11.427749964252792,0.3356176430982484;16.40903055248549,18.155625434553716,1.2319024419877425;10.221335575457148,3.310217391881854,0.2939969077320505;2.5538597899263857,3.344849061134043,0.25034647354653006;10.91718942612339,13.086481616081358,0.2673836957244798;13.231021008074144,2.8576735308316907,1.8074641242975684;16.639147137021006,4.121653958761986,0.29734591302311175;16.69517850949484,18.57043267261543,0.42745301067579267;14.411354945373533,15.117321724886683,2.143918512320631;12.419658928951211,3.945659824548704,1.321485762614892;3.0012094531064992,6.896908205656983,1.084862154043583;18.725114464735633,19.428635490243483,0.38454944675242175;2.431253935580341,17.399580477596725,0.682556580733015;1.3719958270290635,16.911413407353358,0.3382934993887776;8.414850995915849,2.108923336083776,0.6490453396522433;2.472730707415374,18.357877685510193,0.2068183193086055;6.18937661084324,18.32954639254309,1.362171788574424"
