Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,5.258,9.551,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_1,11.511,5.181,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_2,13.222,6.147,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_3,11.111,7.361,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_4,10.913,1.543,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_5,17.388,9.076,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_6,2.311,3.549,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_7,2.323,2.536,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_8,5.279,15.299,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
1,drone_9,10.221,1.573,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
2,drone_0,5.458,9.551,13.539,16.714,"3.6895709221142097,10.275406438057754,0.2539378902992466;6.410200034701023,6.687188226897999,2.163524200282403;19.3131618235444,18.746368242602973,0.2733511964337054;16.60434861038494,18.269299836325587,0.35050662888051287;8.324337122837903,16.732630081503522,0.26654313618771164;9.007264788308483,10.254043586429674,0.6532576716965321;1.6213935989781616,4.100632775308291,0.46449215721948384;6.932616688695394,10.949422067034828,1.1907989628911908;6.409845139757948,1.2974435158426898,0.4760962626817624;3.1053864199940877,16.34628331301214,0.3395547240484039;7.513289230673349,10.510351723793848,0.32581171734940617;4.699189054700261,1.1779743353551468,1.1143780825067675;2.7738440059468137,12.904991672901991,0.22262734430463932;19.256524984715682,8.067375632601788,0.4361874449214427;15.594805114247343,1.1299315005039818,0.2780280835297405;5.873169573915057,11.678561588670098,1.5536598594731093;2.215074658546089,8.528631061477183,0.3475714220000873;8.26106778279212,5.91483700152799,0.6963654139245177;9.406227260528206,2.377502401185709,0.6350832199517243;3.4322058017916195,12.520921122501713,2.245314223150567;12.689020891609237,3.770582676582498,0.24147808367628146;1.4794805636869182,9.873266423600683,0.23528749915154185;19.15499667841174,17.764433513918842,0.2081207433996404;3.983549425968244,6.508581603076799,0.3894702719455235;8.850321560494486,17.29097426360012,0.826730365775873;11.86404480396637,12.17486963283971,0.25314699582825356;16.220131554000357,13.684813092414737,0.7216960989698022;16.593394586503024,15.774146506247794,0.3689987905358746;0.9573370459272958,1.7462886542929907,0.3650954189514738;2.3085438334849337,16.44790044491437,2.235202817774502;3.170234987297054,6.715220566104534,0.4283999029760373;7.401449189118674,6.210020896445236,2.26218370938338;16.03375378024935,12.016447360791359,0.4668890386248159;8.847181409784882,4.6465601470850535,0.9696469592779831;17.13055682694188,11.640700194948877,0.28196307142683547;3.637934991905545,17.5136968685781,1.949586560906895;9.243461016489048,8.399694824110354,0.6526882684946715;2.6512182976049004,5.535742105347923,0.3093189039633266;6.435086309443588,2.6691020874140827,2.073962299385772"
