Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
3,drone_2,9.419,8.893,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
3,drone_3,11.247,11.103,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
3,drone_4,10.625,11.556,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
3,drone_5,9.596,11.341,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
3,drone_6,11.121,9.475,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
3,drone_7,8.933,10.681,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
3,drone_8,8.318,11.318,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
3,drone_9,11.563,8.925,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_0,9.315,9.955,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_1,10.547,10.660,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_2,9.278,9.035,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_3,11.220,11.248,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_4,10.521,11.661,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_5,9.491,11.446,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_6,11.000,9.597,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_7,8.843,10.771,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
4,drone_8,8.196,11.439,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
