Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_0,8.7661,17.4318,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_1,6.4154,17.0746,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_2,7.3775,16.8545,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_3,7.6361,15.7411,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_4,8.5539,16.4080,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_5,8.7126,15.6167,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_6,6.7970,15.4517,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_7,7.9676,17.4784,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_8,6.6215,16.2314,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
2,drone_9,6.9776,17.7243,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_0,8.9610,17.4767,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_1,6.6148,17.0593,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_2,7.5732,16.8958,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_3,7.8357,15.7287,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_4,8.7503,16.3700,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_5,8.9126,15.6186,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_6,6.9970,15.4503,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_7,8.1551,17.5481,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_8,6.8213,16.2220,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
3,drone_9,7.1766,17.7435,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
4,drone_0,9.1601,17.4957,17.0000,17.0000,"6.621,4.559,0.688;9.967,5.156,0.866;12.659,6.427,0.756;14.392,4.953,1.131;1.884,4.468,0.872;18.480,5.376,0.292;19.464,18.690,0.967;17.676,11.212,0.483;2.828,5.595,1.623;13.368,5.565,0.244;8.603,5.692,0.787;6.703,11.104,0.335;13.603,2.240,0.680;11.248,15.433,1.091;18.567,18.921,0.217;3.878,11.330,1.592;4.385,12.614,0.951;10.841,10.699,1.568;16.046,7.659,0.490;8.849,1.446,2.098;15.745,12.640,1.073;9.260,8.723,0.382;15.695,9.993,0.767;0.158,9.532,0.252;19.156,10.680,0.801;10.422,4.956,1.261;11.890,5.795,0.417;13.877,11.698,0.204;18.748,13.450,0.418;14.713,9.325,1.170;13.552,6.142,1.390;12.479,7.495,0.208;7.256,10.187,0.289;14.720,0.972,1.368;2.877,4.088,0.305;1.777,13.223,0.206;7.562,5.766,1.199;15.326,8.539,1.085;9.029,10.752,0.420;10.398,12.112,0.368;8.169,7.690,0.353;4.362,9.590,1.682;4.316,19.178,0.636;10.878,18.165,0.819;0.849,0.985,0.458;0.635,6.715,1.064;1.673,11.213,1.224;17.135,9.085,1.146;11.133,4.053,1.386;16.884,5.129,2.365;5.523,0.879,1.628;12.152,15.367,1.198;19.204,11.132,1.092"
