Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,7.635,1.327,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_1,16.116,6.268,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_2,15.881,4.438,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_3,16.148,18.814,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_4,2.357,13.095,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_5,2.428,5.692,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_6,7.482,14.897,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_7,17.990,18.151,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_8,6.624,5.092,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
1,drone_9,11.684,14.762,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
2,drone_0,7.494,1.468,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
2,drone_1,15.967,6.402,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
2,drone_2,15.740,4.580,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
2,drone_3,15.957,18.754,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
2,drone_4,2.212,12.957,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
2,drone_5,2.565,5.837,3.870,7.278,"13.886337143201272,17.980285003131623,0.46615618563531447;9.104810941363457,9.339873468625807,0.4345918034614252;3.6402295049968316,11.997691702499607,1.2534740267724314;6.480641519197379,9.736588414572536,0.20962346857354652;4.102939020624739,13.482820954891055,0.42771249111412823;12.8285657028436,1.57985455728136,1.3031963030091813;5.866210349700312,0.5511723043206842,0.27887857413529865;15.89609633426347,1.762616631475795,0.6776389074843829;9.7652845041342,17.93685056041283,0.2668842788242578;8.773904335652938,4.996390111482009,1.5478077273262578;14.312702167685499,15.282152450692426,2.282400447706468;11.216065713419656,7.570366963954407,0.3882513011155804;13.1159860405081,9.750706461458394,0.936298367064119;9.411093803380206,2.623261613846597,0.26602202821408005;10.968131554074803,4.977617853516203,0.4291611137825641;13.090995628019927,12.013640879520837,1.2123758796112063;10.91948112110106,10.492430633604512,0.8409734668453296;17.088773509487527,16.58959718008057,0.23620582713839833;10.018635886997636,7.388645897313317,0.2873682861343801;5.406796362219048,14.538682726523449,0.6185533204382515;15.859704978518971,12.843317447732138,1.1836002989069652;8.277915219994878,16.98329706993704,1.1977441216850244;17.700196413695533,10.292758448160765,0.3773593223778138;13.01870369528345,15.797703172786324,1.1781116545794157;10.563019219987586,3.7733583368282195,1.6859673471979437;8.245756483928199,5.012777947727428,0.46132192823358004;11.854626384881605,17.067519896522032,0.24432448076581414;13.055095380477557,8.638100709597813,0.9034173494028814;13.640822437231893,6.204818338916188,0.39635776480232754;5.878461125479251,8.516168132776988,0.25097351998704853;4.1207646675580625,14.54723804438375,1.1829407797299152"
