Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
3,drone_7,9.886,9.024,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_8,17.147,5.170,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_9,15.469,1.569,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_0,17.230,12.435,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_1,12.389,7.200,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_2,5.279,13.096,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_3,6.866,4.979,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_4,5.543,1.949,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_5,6.379,15.241,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_6,19.318,9.243,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_7,9.967,8.842,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_8,17.075,4.984,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
4,drone_9,15.628,1.690,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
5,drone_0,17.040,12.372,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
5,drone_1,12.533,7.062,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
5,drone_2,5.209,12.908,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
5,drone_3,7.012,4.843,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
5,drone_4,5.728,2.026,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
