Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
7,drone_5,-100.0000,-100.0000,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
7,drone_6,4.0907,17.6953,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
7,drone_7,1.5339,17.5649,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
7,drone_8,3.7818,15.1351,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
8,drone_3,-100.0000,-100.0000,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
8,drone_6,-100.0000,-100.0000,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
8,drone_7,1.6753,17.4235,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
8,drone_8,3.9232,14.9937,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
9,drone_7,-100.0000,-100.0000,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
9,drone_8,4.0646,14.8523,4.6627,6.8810,"18.696,19.472,0.906;12.202,17.387,1.522;12.505,18.871,0.209;8.136,12.051,0.427;0.397,8.147,0.424;10.043,11.922,0.389;9.362,5.143,0.467;14.015,15.169,1.232;16.589,7.248,0.225;18.398,12.843,1.050;15.898,4.500,2.339;7.354,11.497,1.255;18.821,6.150,0.361;4.455,12.294,1.736;1.628,6.337,1.027;5.285,13.839,2.321;1.934,15.050,0.238;9.918,1.951,0.780;7.677,6.784,0.623;15.950,13.490,0.286;19.473,14.601,0.223;10.301,14.819,1.063;13.768,13.044,0.223;12.597,2.491,1.802;5.254,14.268,2.238;16.609,2.767,0.896;7.244,10.212,0.612;12.798,2.146,1.638;12.257,8.724,1.683;11.301,14.126,0.960;7.294,1.925,0.656;6.201,18.383,1.079;14.830,16.266,1.067;7.664,3.631,1.356;18.266,2.700,0.799;7.812,7.864,0.813;7.620,10.568,0.381;5.789,0.925,0.318;15.990,1.613,0.448;4.129,1.604,2.355;0.133,12.553,0.237;2.120,5.408,0.393;8.285,0.769,0.959;15.717,7.703,0.496;6.655,10.314,0.271;9.480,7.263,0.691;8.758,8.607,1.261;16.085,8.943,1.325"
