Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
535,drone_3,8.263,5.688,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
535,drone_4,7.801,4.594,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
536,drone_3,8.263,5.672,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
536,drone_4,7.747,4.617,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
537,drone_3,8.290,5.634,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
537,drone_4,7.618,4.700,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
538,drone_3,8.254,5.581,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
538,drone_4,7.567,4.763,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
539,drone_3,8.280,5.572,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
539,drone_4,7.498,4.772,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
540,drone_3,8.251,5.656,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
540,drone_4,7.410,4.762,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
541,drone_3,8.160,5.733,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
541,drone_4,7.422,4.652,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
542,drone_3,8.170,5.732,13.317,14.306,"11.581283288123398,5.274485139264531,2.099815283966116;7.895762922893207,16.101001182390096,0.39172321403341115;4.363098752394218,6.738267412520715,2.2896306872345304;12.11031842126467,2.749740772506166,0.3336613004519363;18.017736712819804,13.210208323472004,1.1768004207595228;2.2128092598684366,2.461167469292424,1.237321213915429;9.844658459428146,17.52936981277754,1.23637080249854;16.03253410605517,16.82925636881039,1.0685847402809026;17.976703650482992,19.29038099327637,0.47038842817970283;2.268363573403245,16.999726207352175,0.7271762060928286;13.150069852543314,9.488483696368325,0.35989560551060673;4.121106090667672,3.858673372654806,0.45924770427383416;5.972914087055607,18.276616407366127,1.188237380976339;6.299593546030483,8.364090856937068,1.0419953041431866;6.519303989109737,8.928260597096216,2.0423147686601215;16.97544456344802,1.8016250936829143,0.33400280496692736;6.076990386573611,18.147333204368227,1.2532501554635807;2.258433931675703,2.4075773293913683,0.3966513273998763;7.685916538767508,6.9838575201278505,0.74493810873027;15.202281856189709,18.188893403297193,1.207331013036073;1.9556025243398332,10.486592302968784,0.7968982958433967;16.314129785697165,11.676148676163526,1.1470702677284659;6.990975862868896,3.2900270198865433,0.2747979513672829;7.313573987164555,0.8875528464717194,0.35765427342879674;1.967476558381459,6.509917220363699,0.7752989836730513;3.277640103118491,15.835752104944218,0.867819507155622;10.80301959494039,9.880426969184825,1.3221716305602342;2.222987660324019,13.466530755585076,1.2747110289058328;3.8505026263626507,2.4593830058447756,0.4351947635179428;17.444704311673842,10.502148984976436,1.5561636783296136;9.496963081669527,7.126753104257779,1.1719045449966476;11.773782960595913,7.868789418384701,0.6547486477035661;13.47129005090654,11.16063082042886,0.22430153651402412;3.222645750663232,18.618611361391306,1.2758767522393735;4.952283186252087,16.33638795324928,1.905677546582583;4.21670891710253,2.0897571262066768,0.9974914395351278"
